Body Fat Percentage,Gender,Age,Weight,Height,BMI,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist,Workout Type,Workout Frequency,Session Duration,Calories Burned,Calories Burned Per Hour
21.22,M,58,70.95,1.88,20.07,,,,,,,,,,,,,,,
17.20,M,58,55.43,1.82,16.72,,,,,,,,,,,,,,,
26.12,M,51,83.05,1.81,25.49,,,,,,,,,,,,,,,
43.50,F,58,66.77,1.50,29.63,,,,,,,,,,,,,,,
21.63,M,37,91.70,1.94,24.43,,,,,,,,,,,,,,,
28.43,F,22,69.99,1.71,23.98,,,,,,,,,,,,,,,
33.42,M,58,99.07,1.81,30.23,,,,,,,,,,,,,,,
20.87,M,37,92.19,1.97,23.80,,,,,,,,,,,,,,,
28.36,M,29,99.62,1.78,31.58,,,,,,,,,,,,,,,
30.84,M,59,99.24,1.89,27.89,,,,,,,,,,,,,,,
46.18,F,50,109.51,1.81,33.40,,,,,,,,,,,,,,,
30.06,M,49,93.90,1.79,29.15,,,,,,,,,,,,,,,
30.05,M,35,108.81,1.85,31.83,,,,,,,,,,,,,,,
21.56,F,18,51.21,1.64,19.02,,,,,,,,,,,,,,,
29.88,F,43,53.70,1.59,21.16,,,,,,,,,,,,,,,
49.24,F,59,99.61,1.71,34.23,,,,,,,,,,,,,,,
45.20,F,50,88.56,1.65,32.58,,,,,,,,,,,,,,,
14.29,M,24,71.91,1.86,20.81,,,,,,,,,,,,,,,
49.78,F,65,88.60,1.63,33.52,,,,,,,,,,,,,,,
16.24,M,54,60.73,1.91,16.68,,,,,,,,,,,,,,,
30.21,F,40,64.82,1.72,22.01,,,,,,,,,,,,,,,
18.40,M,65,51.17,1.77,16.37,,,,,,,,,,,,,,,
37.03,F,25,93.47,1.75,30.57,,,,,,,,,,,,,,,
26.20,M,54,78.24,1.77,24.99,,,,,,,,,,,,,,,
12.68,M,46,56.29,1.92,15.25,,,,,,,,,,,,,,,
41.26,F,23,96.60,1.67,34.48,,,,,,,,,,,,,,,
28.25,M,56,78.45,1.73,26.31,,,,,,,,,,,,,,,
27.03,M,60,77.30,1.78,24.52,,,,,,,,,,,,,,,
9.21,M,19,54.40,1.76,17.53,,,,,,,,,,,,,,,
27.61,M,28,99.76,1.79,31.14,,,,,,,,,,,,,,,
17.41,M,54,52.30,1.72,17.66,,,,,,,,,,,,,,,
38.47,F,20,98.84,1.74,32.73,,,,,,,,,,,,,,,
37.43,F,18,99.56,1.76,32.24,,,,,,,,,,,,,,,
18.89,M,48,70.92,1.88,20.04,,,,,,,,,,,,,,,
46.03,F,56,101.59,1.78,32.13,,,,,,,,,,,,,,,
41.59,F,22,78.05,1.49,34.94,,,,,,,,,,,,,,,
40.23,F,47,92.66,1.79,29.02,,,,,,,,,,,,,,,
38.77,F,37,73.15,1.57,29.71,,,,,,,,,,,,,,,
37.19,M,56,103.59,1.75,33.76,,,,,,,,,,,,,,,
38.16,F,22,105.40,1.81,32.08,,,,,,,,,,,,,,,
28.97,F,21,58.57,1.54,24.62,,,,,,,,,,,,,,,
18.70,M,55,62.97,1.84,18.54,,,,,,,,,,,,,,,
19.71,M,57,68.08,1.89,19.00,,,,,,,,,,,,,,,
17.85,M,48,63.13,1.81,19.18,,,,,,,,,,,,,,,
41.41,F,23,107.15,1.76,34.60,,,,,,,,,,,,,,,
41.34,F,43,102.13,1.82,30.71,,,,,,,,,,,,,,,
43.19,F,52,98.15,1.79,30.52,,,,,,,,,,,,,,,
42.64,F,65,54.89,1.41,27.57,,,,,,,,,,,,,,,
29.84,M,47,88.15,1.73,29.36,,,,,,,,,,,,,,,
30.78,M,63,87.10,1.79,27.08,,,,,,,,,,,,,,,
31.49,M,49,105.28,1.86,30.35,,,,,,,,,,,,,,,
41.13,F,41,100.74,1.81,30.92,,,,,,,,,,,,,,,
33.05,F,40,55.41,1.51,24.37,,,,,,,,,,,,,,,
24.08,M,31,104.54,1.95,27.63,,,,,,,,,,,,,,,
17.81,M,21,91.09,1.94,24.32,,,,,,,,,,,,,,,
14.12,M,20,67.03,1.77,21.44,,,,,,,,,,,,,,,
22.31,M,42,87.37,1.91,24.04,,,,,,,,,,,,,,,
46.41,F,56,66.03,1.43,32.44,,,,,,,,,,,,,,,
37.39,F,24,75.02,1.55,31.06,,,,,,,,,,,,,,,
15.31,M,49,61.92,1.92,16.86,,,,,,,,,,,,,,,
38.02,F,34,65.79,1.49,29.67,,,,,,,,,,,,,,,
41.67,F,40,88.84,1.68,31.56,,,,,,,,,,,,,,,
22.25,M,60,60.98,1.72,20.54,,,,,,,,,,,,,,,
30.05,F,22,82.93,1.81,25.32,,,,,,,,,,,,,,,
31.50,M,63,101.75,1.92,27.68,,,,,,,,,,,,,,,
48.29,F,65,97.65,1.74,32.28,,,,,,,,,,,,,,,
39.74,F,31,91.64,1.70,31.67,,,,,,,,,,,,,,,
12.92,M,47,54.06,1.88,15.26,,,,,,,,,,,,,,,
42.12,F,64,90.92,1.82,27.33,,,,,,,,,,,,,,,
13.89,M,23,70.95,1.85,20.67,,,,,,,,,,,,,,,
43.36,F,40,75.69,1.52,32.97,,,,,,,,,,,,,,,
40.40,F,23,80.24,1.54,33.76,,,,,,,,,,,,,,,
30.46,F,52,61.93,1.76,19.92,,,,,,,,,,,,,,,
39.33,F,18,91.84,1.65,33.83,,,,,,,,,,,,,,,
29.26,M,39,98.79,1.80,30.41,,,,,,,,,,,,,,,
17.71,M,55,61.94,1.87,17.72,,,,,,,,,,,,,,,
36.93,M,52,102.58,1.73,34.31,,,,,,,,,,,,,,,
31.33,F,46,62.05,1.69,21.80,,,,,,,,,,,,,,,
20.38,M,49,64.59,1.75,21.09,,,,,,,,,,,,,,,
31.70,F,26,83.41,1.79,25.94,,,,,,,,,,,,,,,
20.89,M,20,99.90,1.92,27.08,,,,,,,,,,,,,,,
31.59,F,54,66.19,1.80,20.47,,,,,,,,,,,,,,,
20.98,M,44,80.16,1.89,22.55,,,,,,,,,,,,,,,
40.17,F,19,109.20,1.78,34.33,,,,,,,,,,,,,,,
32.64,M,61,101.63,1.87,29.01,,,,,,,,,,,,,,,
7.99,M,25,56.80,1.92,15.37,,,,,,,,,,,,,,,
21.50,M,39,83.14,1.86,23.94,,,,,,,,,,,,,,,
30.70,M,49,104.71,1.88,29.69,,,,,,,,,,,,,,,
41.75,F,28,95.28,1.68,33.92,,,,,,,,,,,,,,,
20.10,M,54,75.84,1.95,19.90,,,,,,,,,,,,,,,
45.61,F,43,104.80,1.75,34.27,,,,,,,,,,,,,,,
8.62,M,30,53.98,1.90,14.94,,,,,,,,,,,,,,,
22.16,M,53,63.20,1.70,21.81,,,,,,,,,,,,,,,
24.91,M,26,108.61,1.93,29.27,,,,,,,,,,,,,,,
45.49,F,52,78.56,1.56,32.44,,,,,,,,,,,,,,,
31.93,M,51,109.02,1.90,30.33,,,,,,,,,,,,,,,
22.62,M,57,72.64,1.84,21.43,,,,,,,,,,,,,,,
19.87,F,20,50.39,1.71,17.23,,,,,,,,,,,,,,,
27.49,F,20,55.34,1.53,23.57,,,,,,,,,,,,,,,
39.93,F,63,57.25,1.49,25.70,,,,,,,,,,,,,,,
33.26,F,22,93.49,1.83,28.00,,,,,,,,,,,,,,,
18.74,M,34,83.24,1.92,22.60,,,,,,,,,,,,,,,
41.72,F,38,89.40,1.67,31.98,,,,,,,,,,,,,,,
38.25,F,42,89.55,1.78,28.33,,,,,,,,,,,,,,,
22.89,F,22,57.51,1.72,19.36,,,,,,,,,,,,,,,
13.30,M,57,52.55,1.96,13.66,,,,,,,,,,,,,,,
21.11,M,33,81.48,1.81,24.76,,,,,,,,,,,,,,,
44.15,F,41,73.64,1.48,33.43,,,,,,,,,,,,,,,
18.78,M,65,58.91,1.88,16.70,,,,,,,,,,,,,,,
9.69,M,43,51.36,1.96,13.33,,,,,,,,,,,,,,,
40.54,F,32,106.64,1.82,32.15,,,,,,,,,,,,,,,
42.35,F,59,78.78,1.66,28.48,,,,,,,,,,,,,,,
16.85,M,32,79.45,1.93,21.41,,,,,,,,,,,,,,,
23.65,M,19,106.51,1.90,29.56,,,,,,,,,,,,,,,
46.39,F,58,100.11,1.77,32.04,,,,,,,,,,,,,,,
33.11,F,19,90.71,1.79,28.45,,,,,,,,,,,,,,,
37.99,F,19,79.80,1.57,32.51,,,,,,,,,,,,,,,
38.78,F,44,65.45,1.52,28.38,,,,,,,,,,,,,,,
40.97,F,57,91.91,1.82,27.72,,,,,,,,,,,,,,,
31.99,F,33,66.67,1.64,24.83,,,,,,,,,,,,,,,
30.65,M,58,109.20,1.98,27.92,,,,,,,,,,,,,,,
9.67,M,30,51.20,1.80,15.81,,,,,,,,,,,,,,,
37.41,F,26,85.60,1.67,30.69,,,,,,,,,,,,,,,
17.10,M,43,65.04,1.83,19.51,,,,,,,,,,,,,,,
31.91,F,47,61.57,1.67,22.08,,,,,,,,,,,,,,,
36.33,M,62,93.54,1.71,31.90,,,,,,,,,,,,,,,
38.92,M,58,103.64,1.73,34.82,,,,,,,,,,,,,,,
24.70,M,62,68.67,1.76,22.20,,,,,,,,,,,,,,,
24.49,M,46,74.07,1.72,25.09,,,,,,,,,,,,,,,
22.31,M,53,69.09,1.77,21.93,,,,,,,,,,,,,,,
20.64,M,31,94.49,1.95,24.76,,,,,,,,,,,,,,,
44.46,F,47,87.44,1.64,32.54,,,,,,,,,,,,,,,
33.02,F,20,92.92,1.82,28.18,,,,,,,,,,,,,,,
10.91,M,31,62.68,1.94,16.65,,,,,,,,,,,,,,,
36.52,M,55,102.31,1.75,33.39,,,,,,,,,,,,,,,
28.00,F,38,61.40,1.73,20.55,,,,,,,,,,,,,,,
18.49,M,34,82.46,1.92,22.39,,,,,,,,,,,,,,,
45.42,F,46,102.73,1.75,33.53,,,,,,,,,,,,,,,
11.98,M,42,58.13,1.94,15.43,,,,,,,,,,,,,,,
42.78,F,56,77.24,1.62,29.42,,,,,,,,,,,,,,,
37.38,F,24,97.94,1.78,31.05,,,,,,,,,,,,,,,
31.49,F,20,77.08,1.69,26.91,,,,,,,,,,,,,,,
29.27,F,43,62.34,1.74,20.65,,,,,,,,,,,,,,,
28.23,M,54,100.80,1.94,26.68,,,,,,,,,,,,,,,
11.79,M,29,58.74,1.82,17.76,,,,,,,,,,,,,,,
43.87,F,36,66.38,1.39,34.16,,,,,,,,,,,,,,,
35.52,F,19,100.31,1.81,30.46,,,,,,,,,,,,,,,
44.27,F,51,92.26,1.71,31.61,,,,,,,,,,,,,,,
19.88,F,18,50.65,1.70,17.62,,,,,,,,,,,,,,,
45.90,F,48,77.54,1.52,33.55,,,,,,,,,,,,,,,
14.47,M,32,60.73,1.77,19.42,,,,,,,,,,,,,,,
45.02,F,45,108.35,1.80,33.39,,,,,,,,,,,,,,,
34.36,F,32,61.38,1.51,27.00,,,,,,,,,,,,,,,
47.54,F,50,93.03,1.64,34.54,,,,,,,,,,,,,,,
25.18,M,53,74.61,1.75,24.32,,,,,,,,,,,,,,,
45.38,F,57,85.49,1.65,31.39,,,,,,,,,,,,,,,
48.91,F,57,92.59,1.64,34.33,,,,,,,,,,,,,,,
24.93,M,63,81.35,1.91,22.20,,,,,,,,,,,,,,,
45.46,F,54,92.71,1.70,32.03,,,,,,,,,,,,,,,
33.27,F,42,79.35,1.81,24.17,,,,,,,,,,,,,,,
46.25,F,44,108.25,1.77,34.61,,,,,,,,,,,,,,,
26.26,F,25,50.69,1.53,21.59,,,,,,,,,,,,,,,
29.53,M,51,89.67,1.78,28.33,,,,,,,,,,,,,,,
14.11,M,39,55.79,1.77,17.78,,,,,,,,,,,,,,,
28.73,M,47,87.79,1.76,28.43,,,,,,,,,,,,,,,
40.63,F,44,76.76,1.60,29.93,,,,,,,,,,,,,,,
30.20,M,62,82.74,1.76,26.79,,,,,,,,,,,,,,,
16.70,M,48,56.12,1.76,18.21,,,,,,,,,,,,,,,
29.32,M,32,101.62,1.79,31.80,,,,,,,,,,,,,,,
13.00,M,38,64.13,1.94,17.05,,,,,,,,,,,,,,,
40.53,F,28,88.22,1.64,32.90,,,,,,,,,,,,,,,
32.14,F,61,61.03,1.77,19.59,,,,,,,,,,,,,,,
50.20,F,60,96.94,1.67,34.83,,,,,,,,,,,,,,,
44.37,F,61,98.65,1.82,29.78,,,,,,,,,,,,,,,
12.13,M,26,62.38,1.83,18.62,,,,,,,,,,,,,,,
33.28,M,38,98.54,1.70,33.95,,,,,,,,,,,,,,,
18.82,M,50,66.89,1.85,19.60,,,,,,,,,,,,,,,
22.11,M,43,88.31,1.93,23.69,,,,,,,,,,,,,,,
31.90,M,39,97.72,1.73,32.61,,,,,,,,,,,,,,,
44.58,F,49,75.70,1.53,32.25,,,,,,,,,,,,,,,
13.84,M,30,68.33,1.88,19.28,,,,,,,,,,,,,,,
48.81,F,57,84.45,1.57,34.25,,,,,,,,,,,,,,,
38.56,F,46,79.68,1.69,27.82,,,,,,,,,,,,,,,
36.84,F,18,100.23,1.78,31.75,,,,,,,,,,,,,,,
34.86,F,56,64.08,1.68,22.82,,,,,,,,,,,,,,,
47.16,F,51,108.95,1.79,34.03,,,,,,,,,,,,,,,
32.27,F,32,56.17,1.49,25.26,,,,,,,,,,,,,,,
11.35,M,47,52.54,1.94,13.95,,,,,,,,,,,,,,,
45.72,F,62,80.99,1.62,30.72,,,,,,,,,,,,,,,
19.29,M,48,71.40,1.87,20.37,,,,,,,,,,,,,,,
23.44,M,27,83.38,1.73,27.86,,,,,,,,,,,,,,,
23.97,M,38,86.88,1.82,26.19,,,,,,,,,,,,,,,
41.36,F,34,102.56,1.78,32.45,,,,,,,,,,,,,,,
25.08,F,48,50.02,1.76,16.20,,,,,,,,,,,,,,,
43.97,F,40,98.13,1.71,33.48,,,,,,,,,,,,,,,
40.75,F,48,74.02,1.59,29.26,,,,,,,,,,,,,,,
40.80,F,48,90.82,1.76,29.30,,,,,,,,,,,,,,,
17.58,M,29,68.05,1.74,22.59,,,,,,,,,,,,,,,
35.93,M,47,109.54,1.78,34.43,,,,,,,,,,,,,,,
33.03,F,20,86.78,1.75,28.19,,,,,,,,,,,,,,,
40.35,F,63,80.12,1.75,26.05,,,,,,,,,,,,,,,
19.97,M,49,68.34,1.81,20.75,,,,,,,,,,,,,,,
28.67,M,55,100.00,1.93,26.85,,,,,,,,,,,,,,,
27.47,M,19,107.20,1.81,32.75,,,,,,,,,,,,,,,
22.66,M,40,85.11,1.86,24.71,,,,,,,,,,,,,,,
20.47,M,36,74.03,1.77,23.66,,,,,,,,,,,,,,,
21.95,M,53,72.99,1.84,21.63,,,,,,,,,,,,,,,
37.66,M,53,103.84,1.73,34.73,,,,,,,,,,,,,,,
25.10,M,26,107.83,1.91,29.43,,,,,,,,,,,,,,,
23.15,F,19,52.16,1.61,20.15,,,,,,,,,,,,,,,
27.99,M,50,101.81,1.93,27.24,,,,,,,,,,,,,,,
39.98,F,45,89.85,1.75,29.19,,,,,,,,,,,,,,,
47.73,F,64,83.12,1.61,32.01,,,,,,,,,,,,,,,
29.59,F,31,59.84,1.61,23.21,,,,,,,,,,,,,,,
46.69,F,48,99.66,1.71,34.21,,,,,,,,,,,,,,,
25.80,M,44,78.21,1.72,26.57,,,,,,,,,,,,,,,
22.66,M,51,70.52,1.77,22.61,,,,,,,,,,,,,,,
38.55,F,28,65.76,1.45,31.26,,,,,,,,,,,,,,,
35.78,F,38,84.74,1.77,27.03,,,,,,,,,,,,,,,
22.05,M,44,80.40,1.85,23.44,,,,,,,,,,,,,,,
20.24,M,46,67.79,1.77,21.55,,,,,,,,,,,,,,,
49.29,F,56,106.85,1.75,34.84,,,,,,,,,,,,,,,
30.63,M,46,101.29,1.83,30.21,,,,,,,,,,,,,,,
21.14,M,65,55.84,1.73,18.65,,,,,,,,,,,,,,,
39.86,F,30,65.75,1.43,31.97,,,,,,,,,,,,,,,
28.18,F,20,52.55,1.48,24.15,,,,,,,,,,,,,,,
36.13,M,55,97.19,1.71,33.06,,,,,,,,,,,,,,,
14.32,M,49,56.56,1.88,16.04,,,,,,,,,,,,,,,
18.69,M,46,72.77,1.90,20.26,,,,,,,,,,,,,,,
27.61,F,20,73.93,1.77,23.67,,,,,,,,,,,,,,,
27.01,F,18,53.74,1.51,23.55,,,,,,,,,,,,,,,
25.33,M,24,108.72,1.90,30.01,,,,,,,,,,,,,,,
21.84,M,30,83.53,1.79,25.95,,,,,,,,,,,,,,,
49.25,F,61,108.51,1.79,33.85,,,,,,,,,,,,,,,
11.10,M,39,51.50,1.84,15.28,,,,,,,,,,,,,,,
43.91,F,40,108.89,1.80,33.43,,,,,,,,,,,,,,,
31.69,M,28,104.03,1.74,34.54,,,,,,,,,,,,,,,
45.72,F,43,79.60,1.52,34.35,,,,,,,,,,,,,,,
13.26,M,39,53.42,1.77,17.07,,,,,,,,,,,,,,,
41.77,F,60,92.99,1.83,27.81,,,,,,,,,,,,,,,
23.81,M,27,82.52,1.71,28.16,,,,,,,,,,,,,,,
47.36,F,58,101.66,1.76,32.85,,,,,,,,,,,,,,,
39.56,F,52,78.48,1.69,27.50,,,,,,,,,,,,,,,
19.08,M,45,80.44,1.97,20.78,,,,,,,,,,,,,,,
18.77,M,34,75.37,1.83,22.63,,,,,,,,,,,,,,,
39.23,F,26,93.44,1.70,32.21,,,,,,,,,,,,,,,
28.77,M,60,98.84,1.95,25.97,,,,,,,,,,,,,,,
15.38,M,28,73.69,1.88,20.95,,,,,,,,,,,,,,,
33.65,F,21,95.27,1.83,28.52,,,,,,,,,,,,,,,
25.87,M,39,88.31,1.79,27.58,,,,,,,,,,,,,,,
46.21,F,63,98.97,1.79,30.93,,,,,,,,,,,,,,,
25.53,F,38,53.34,1.70,18.49,,,,,,,,,,,,,,,
27.03,M,30,101.63,1.83,30.28,,,,,,,,,,,,,,,
17.78,M,31,66.06,1.72,22.37,,,,,,,,,,,,,,,
39.79,F,21,88.23,1.62,33.63,,,,,,,,,,,,,,,
36.78,F,33,75.72,1.62,28.83,,,,,,,,,,,,,,,
46.05,F,47,88.08,1.61,33.86,,,,,,,,,,,,,,,
16.06,M,50,63.60,1.92,17.30,,,,,,,,,,,,,,,
44.87,F,57,90.98,1.71,30.97,,,,,,,,,,,,,,,
46.94,F,45,106.32,1.74,34.99,,,,,,,,,,,,,,,
24.95,M,56,84.49,1.89,23.56,,,,,,,,,,,,,,,
23.95,M,25,103.85,1.90,28.66,,,,,,,,,,,,,,,
28.93,M,59,79.85,1.74,26.30,,,,,,,,,,,,,,,
9.99,M,33,50.07,1.80,15.50,,,,,,,,,,,,,,,
28.10,M,20,100.87,1.75,33.08,,,,,,,,,,,,,,,
36.90,F,59,69.20,1.70,23.94,,,,,,,,,,,,,,,
41.34,F,31,100.98,1.75,33.01,,,,,,,,,,,,,,,
32.98,M,52,99.21,1.79,31.02,,,,,,,,,,,,,,,
5.84,M,27,50.97,1.97,13.19,,,,,,,,,,,,,,,
19.26,M,19,79.48,1.75,25.91,,,,,,,,,,,,,,,
33.02,F,20,88.57,1.77,28.18,,,,,,,,,,,,,,,
20.70,M,49,62.47,1.71,21.36,,,,,,,,,,,,,,,
42.62,F,32,74.14,1.48,33.88,,,,,,,,,,,,,,,
37.85,F,51,80.35,1.75,26.26,,,,,,,,,,,,,,,
35.59,F,44,73.92,1.70,25.73,,,,,,,,,,,,,,,
24.78,F,21,63.03,1.73,21.13,,,,,,,,,,,,,,,
34.02,F,59,65.71,1.75,21.54,,,,,,,,,,,,,,,
20.76,M,42,88.21,1.97,22.75,,,,,,,,,,,,,,,
23.70,M,58,85.10,1.96,22.13,,,,,,,,,,,,,,,
39.97,F,59,81.00,1.75,26.50,,,,,,,,,,,,,,,
18.36,M,20,82.05,1.81,24.97,,,,,,,,,,,,,,,
15.18,M,19,84.08,1.93,22.51,,,,,,,,,,,,,,,
46.48,F,55,98.14,1.73,32.69,,,,,,,,,,,,,,,
20.40,M,29,74.65,1.73,24.94,,,,,,,,,,,,,,,
46.50,F,64,92.80,1.73,30.98,,,,,,,,,,,,,,,
9.30,M,32,52.72,1.87,15.11,,,,,,,,,,,,,,,
10.24,M,30,52.13,1.79,16.28,,,,,,,,,,,,,,,
12.98,M,29,57.67,1.75,18.76,,,,,,,,,,,,,,,
9.97,M,39,50.87,1.88,14.33,,,,,,,,,,,,,,,
14.73,M,61,50.03,1.88,14.09,,,,,,,,,,,,,,,
31.28,M,42,97.96,1.76,31.52,,,,,,,,,,,,,,,
36.94,F,53,82.28,1.81,25.13,,,,,,,,,,,,,,,
27.84,M,27,100.12,1.78,31.53,,,,,,,,,,,,,,,
14.30,M,51,58.60,1.94,15.64,,,,,,,,,,,,,,,
9.14,M,34,55.25,1.95,14.60,,,,,,,,,,,,,,,
39.87,F,21,107.13,1.78,33.70,,,,,,,,,,,,,,,
26.44,M,43,94.19,1.86,27.29,,,,,,,,,,,,,,,
44.51,F,35,92.74,1.63,34.89,,,,,,,,,,,,,,,
44.04,F,40,108.70,1.80,33.53,,,,,,,,,,,,,,,
14.63,M,23,76.25,1.89,21.29,,,,,,,,,,,,,,,
31.64,M,57,107.02,1.92,28.94,,,,,,,,,,,,,,,
13.52,M,45,59.88,1.93,16.14,,,,,,,,,,,,,,,
40.44,F,55,90.49,1.81,27.66,,,,,,,,,,,,,,,
29.37,M,57,81.31,1.73,27.05,,,,,,,,,,,,,,,
27.08,M,43,81.67,1.71,27.82,,,,,,,,,,,,,,,
27.01,M,32,89.13,1.73,29.88,,,,,,,,,,,,,,,
36.31,F,58,72.14,1.75,23.65,,,,,,,,,,,,,,,
40.73,F,28,69.97,1.45,33.07,,,,,,,,,,,,,,,
25.64,M,60,89.61,1.96,23.37,,,,,,,,,,,,,,,
46.79,F,49,95.95,1.68,34.10,,,,,,,,,,,,,,,
7.06,M,30,50.98,1.93,13.63,,,,,,,,,,,,,,,
20.07,M,30,76.15,1.76,24.47,,,,,,,,,,,,,,,
25.10,M,36,88.42,1.79,27.51,,,,,,,,,,,,,,,
34.54,F,24,70.13,1.56,28.68,,,,,,,,,,,,,,,
31.43,F,24,52.49,1.42,26.10,,,,,,,,,,,,,,,
35.73,F,21,77.12,1.60,30.25,,,,,,,,,,,,,,,
25.83,M,54,87.05,1.88,24.67,,,,,,,,,,,,,,,
40.69,F,53,70.26,1.58,28.25,,,,,,,,,,,,,,,
37.45,F,58,57.09,1.52,24.59,,,,,,,,,,,,,,,
30.31,M,44,92.26,1.74,30.32,,,,,,,,,,,,,,,
17.12,M,33,68.91,1.79,21.45,,,,,,,,,,,,,,,
26.20,M,53,93.06,1.92,25.17,,,,,,,,,,,,,,,
13.98,M,39,53.12,1.73,17.68,,,,,,,,,,,,,,,
33.43,M,47,95.55,1.72,32.35,,,,,,,,,,,,,,,
32.03,M,59,86.37,1.73,28.88,,,,,,,,,,,,,,,
40.15,F,19,108.39,1.78,34.32,,,,,,,,,,,,,,,
42.16,F,42,78.95,1.58,31.58,,,,,,,,,,,,,,,
16.93,M,34,63.83,1.74,21.09,,,,,,,,,,,,,,,
20.81,M,43,82.76,1.91,22.60,,,,,,,,,,,,,,,
15.49,M,32,65.93,1.80,20.28,,,,,,,,,,,,,,,
32.99,F,39,50.06,1.43,24.52,,,,,,,,,,,,,,,
47.99,F,64,105.44,1.81,32.23,,,,,,,,,,,,,,,
17.85,M,37,65.14,1.75,21.28,,,,,,,,,,,,,,,
40.48,F,60,55.87,1.45,26.73,,,,,,,,,,,,,,,
36.26,F,19,87.90,1.68,31.07,,,,,,,,,,,,,,,
31.34,M,30,104.50,1.76,33.87,,,,,,,,,,,,,,,
34.58,F,52,78.05,1.83,23.35,,,,,,,,,,,,,,,
25.22,M,28,98.03,1.83,29.15,,,,,,,,,,,,,,,
41.22,F,30,97.65,1.72,33.10,,,,,,,,,,,,,,,
36.06,F,45,57.70,1.49,25.93,,,,,,,,,,,,,,,
16.95,M,45,71.00,1.93,19.00,,,,,,,,,,,,,,,
29.52,M,55,86.53,1.77,27.56,,,,,,,,,,,,,,,
19.88,M,21,101.63,1.98,26.04,,,,,,,,,,,,,,,
32.36,F,37,81.34,1.83,24.38,,,,,,,,,,,,,,,
19.62,M,52,75.92,1.95,19.88,,,,,,,,,,,,,,,
30.83,F,38,64.29,1.68,22.91,,,,,,,,,,,,,,,
39.30,F,30,72.93,1.52,31.50,,,,,,,,,,,,,,,
33.98,F,62,51.21,1.56,20.93,,,,,,,,,,,,,,,
23.47,M,58,73.36,1.83,21.94,,,,,,,,,,,,,,,
29.35,M,38,94.74,1.76,30.67,,,,,,,,,,,,,,,
40.22,F,39,95.56,1.77,30.54,,,,,,,,,,,,,,,
29.78,F,58,57.71,1.78,18.20,,,,,,,,,,,,,,,
12.02,M,24,70.88,1.94,18.91,,,,,,,,,,,,,,,
35.16,F,34,71.29,1.62,27.29,,,,,,,,,,,,,,,
18.01,M,60,61.75,1.91,17.01,,,,,,,,,,,,,,,
18.93,M,39,83.30,1.95,21.80,,,,,,,,,,,,,,,
34.86,M,60,109.32,1.88,31.05,,,,,,,,,,,,,,,
27.74,M,33,97.41,1.79,30.29,,,,,,,,,,,,,,,
28.42,M,44,96.17,1.83,28.75,,,,,,,,,,,,,,,
16.39,M,60,58.14,1.93,15.66,,,,,,,,,,,,,,,
43.00,F,48,85.07,1.65,31.14,,,,,,,,,,,,,,,
25.93,M,49,95.99,1.93,25.71,,,,,,,,,,,,,,,
29.99,F,60,53.83,1.73,17.99,,,,,,,,,,,,,,,
19.18,M,30,79.92,1.84,23.73,,,,,,,,,,,,,,,
42.91,F,31,104.68,1.75,34.31,,,,,,,,,,,,,,,
8.31,M,29,57.60,1.97,14.86,,,,,,,,,,,,,,,
45.07,F,43,109.70,1.80,33.82,,,,,,,,,,,,,,,
17.39,M,54,68.54,1.97,17.64,,,,,,,,,,,,,,,
41.02,F,51,77.61,1.64,28.91,,,,,,,,,,,,,,,
33.56,F,55,51.58,1.53,21.92,,,,,,,,,,,,,,,
13.77,M,47,61.22,1.96,15.96,,,,,,,,,,,,,,,
20.22,M,25,78.43,1.75,25.56,,,,,,,,,,,,,,,
21.47,M,29,77.93,1.74,25.84,,,,,,,,,,,,,,,
39.87,F,55,68.86,1.59,27.19,,,,,,,,,,,,,,,
25.60,F,29,60.18,1.72,20.28,,,,,,,,,,,,,,,
19.28,M,43,70.27,1.82,21.32,,,,,,,,,,,,,,,
41.03,F,37,101.81,1.80,31.60,,,,,,,,,,,,,,,
48.61,F,55,109.35,1.78,34.47,,,,,,,,,,,,,,,
24.65,M,18,92.52,1.74,30.59,,,,,,,,,,,,,,,
31.74,M,34,107.62,1.79,33.43,,,,,,,,,,,,,,,
13.99,M,50,52.32,1.83,15.58,,,,,,,,,,,,,,,
26.31,F,33,64.40,1.79,20.10,,,,,,,,,,,,,,,
43.29,F,33,95.98,1.67,34.25,,,,,,,,,,,,,,,
14.38,M,19,70.03,1.79,21.84,,,,,,,,,,,,,,,
27.22,M,65,80.76,1.85,23.72,,,,,,,,,,,,,,,
10.27,M,24,52.55,1.74,17.46,,,,,,,,,,,,,,,
18.06,M,42,79.98,1.98,20.50,,,,,,,,,,,,,,,
26.62,M,58,82.90,1.84,24.57,,,,,,,,,,,,,,,
42.32,F,63,59.02,1.46,27.69,,,,,,,,,,,,,,,
43.45,F,56,92.06,1.75,29.98,,,,,,,,,,,,,,,
39.04,M,61,107.68,1.77,34.34,,,,,,,,,,,,,,,
38.94,F,24,107.90,1.83,32.35,,,,,,,,,,,,,,,
18.05,M,24,76.82,1.79,23.94,,,,,,,,,,,,,,,
39.55,F,50,75.06,1.64,27.87,,,,,,,,,,,,,,,
47.69,F,51,95.01,1.66,34.47,,,,,,,,,,,,,,,
31.19,F,36,68.44,1.70,23.59,,,,,,,,,,,,,,,
